"Course Code","Course Instructor","Registered Students","Exam slot","Data"
"CE 731","T I Eldho","22","5","5B-CE-209-09:30:00-10:55:005A-CE-209-09:30:00-10:55:00"
"CE 740","Tom V Mathew","18","6","6B-CE-209-11:05:00-12:30:006A-CE-209-11:05:00-12:30:00"
"CE 740","I01057 - Tom V. Mathew","","","10A-SMA210-14:00:00-15:25:0011A-SMA210-15:30:00-16:55:00"
"CE 742","Dharamveer Singh","20","14","14B-CE-209-17:30:00-18:55:0014A-CE-209-17:30:00-18:55:00"
"CE 742","I12152 - Dharamveer Singh","","","10B-SMA113-14:00:00-15:25:0011B-SMA113-15:30:00-16:55:00"
"CE 751","I96067 - K V Krishna Rao","","","X1-SMAG11-14:00:00-15:00:00X2-SMAG11-15:00:00-16:00:00X3-SMAG11-16:00:00-17:00:00"
"CE 751","K.V.Krishna Rao","26","15","15A-CE-209-19:00:00-20:25:0015B-CE-209-19:00:00-20:25:00"
"CE 764","Arpita Mondal","30","2","2A-CE-209-09:30:00-10:25:002C-CE-209-11:35:00-12:30:002B-CE-209-10:35:00-11:30:00"
"CE 768","Gupta Kapil","11","9","9B-CE-206-15:30:00-16:55:009A-CE-206-15:30:00-16:55:00"
"CE 769","R. Balaji","16","8","8A-CE-206-14:00:00-15:25:008B-CE-206-14:00:00-15:25:00"
"CE 771","Gopal R. Patil","27","12","12A-CE-209-17:30:00-18:55:0012B-CE-209-17:30:00-18:55:00"
"CE 792","Nagendra Rao Velaga","45","",""
"CE 792","Venkata S. Delhi","45","",""
"CH 105","Suvarn Kulkarni","236","9","9A-LA 101-15:30:00-16:55:009B-LA 101-15:30:00-16:55:00"
"CH 105","Maheswaran S.","235","2","2C-LA 101-11:35:00-12:30:002B-LA 101-10:35:00-11:30:002A-LA 101-09:30:00-10:25:00"
"CH 105","R. Murugavel","235","2","2C-LA 101-11:35:00-12:30:002B-LA 101-10:35:00-11:30:002A-LA 101-09:30:00-10:25:00"
"CH 105","Suvarn Kulkarni","235","2","2C-LA 101-11:35:00-12:30:002B-LA 101-10:35:00-11:30:002A-LA 101-09:30:00-10:25:00"
